subhalo_id,subhalo_flag,logmass,logmass0,logmass1,logmass4,SubhaloCM_x,SubhaloCM_y,SubhaloCM_z,SubhaloVel_x,SubhaloVel_y,SubhaloVel_z,SubhaloHalfmassRad,MassInMaxRad,SubhaloVmax,SubhaloVmaxRad
434356,1,12.475222,11.029192,12.439797,11.102896000000001,15428.250977000002,1350.0469970000001,20142.976562,64.53484300000001,-129.432205,110.95871000000001,97.09671,10.580181,353.02209500000004,0.9242879999999999
434357,1,11.457563,10.286849,11.410986999999999,9.988813,15718.533203,1137.123047,20167.121094,-88.917137,35.28109,34.040981,27.447359000000002,9.63135,148.347473,0.5889300000000001
434358,1,10.835749,9.827150999999999,10.775917999999999,9.320336,15260.060547,1345.471924,19951.568359,52.566467,-204.159286,-42.398373,13.171626000000002,10.188183,91.67842900000001,5.557646
435752,1,12.438907,11.35322,12.380942999999998,11.069664,17553.892578,26625.355469,24253.960938,-93.24895500000001,81.218887,88.422562,83.232849,10.397025,294.81939700000004,0.8692620000000001
435753,1,11.196562,10.095121,11.146792999999999,9.659246000000001,17613.908203,26419.761719,24590.90625,-250.356369,154.603546,94.15214499999999,21.875391,10.616222,108.98384899999999,10.537377000000001
436932,1,12.420796000000001,11.216254,12.367674000000001,11.142003,14901.80957,28335.974608999997,25709.787109,246.54653900000002,190.58590700000002,121.839371,68.130501,11.532763000000001,265.535736,14.646973999999998
436933,1,11.299700999999999,10.108122,11.260595,9.635957000000001,14698.473633000001,28326.095702999995,26029.457031,92.753502,357.47805800000003,75.884659,27.934343,10.525231,115.56786299999999,7.59963
438148,1,12.472761,11.136254,12.423214,11.262572,14180.331055,4156.947754,34943.160156,117.440712,147.75383,-180.071701,88.00715600000001,10.208191000000001,286.649994,0.5952770000000001
439099,1,12.506409,11.195824,12.466102000000001,11.104333,29535.103516000003,10683.929688,30399.0625,-58.042598999999996,-36.062828,95.09623,85.941315,10.466533,298.448425,0.9954770000000001
440407,1,12.283882,10.678192999999998,12.25203,10.944472,13352.151367,30583.080077999995,21442.984375,-55.800213,-138.626968,148.731155,78.791939,10.451021,325.63147000000004,0.8068609999999999
440408,1,11.835797,10.788941000000001,11.774253,10.461831,13363.631836,30881.587891000003,21995.359375,34.034019,-224.07498199999998,56.521103000000004,44.273506,11.184116,169.75521899999998,16.05834
440409,1,11.387872,10.39795,11.330914,9.699261,13557.351562,30940.609375,22263.408203,-30.069947999999997,-227.17816200000001,-19.454393,27.282004999999998,10.789042,124.157799,12.087153
440410,1,11.319952,10.301055999999999,11.266985,9.598682,13519.571288999998,30683.880858999997,21625.248047,-202.194672,-65.45630600000001,48.047394,28.956553000000003,10.806909,107.64546999999999,16.755164999999998
441709,1,12.442634,11.344712,12.382871000000002,11.129103,7688.07666,7903.80957,12122.993164,-43.225182000000004,41.892403,-40.726032000000004,102.324287,5.80621,380.304535,0.009654000000000001
443049,1,12.406364,11.111817,12.369627000000001,10.887372000000001,7500.987793000001,25835.595703,28039.197266000003,5.152549,-56.816803,-194.7556,80.879929,10.493472,329.740234,0.867677
443050,1,11.406075,10.369987,11.330744000000001,10.233,7405.96582,25730.669922,28246.339844,121.957283,-31.006497999999997,-123.3731,17.758233999999998,10.885042,151.127869,10.176147
443051,1,10.988029,9.873982,10.920224000000001,9.816658,7366.379395,25799.576172,28155.220702999995,90.56648299999999,63.134361,-64.618752,12.005413,10.076628999999999,117.03396599999999,2.637855
443052,1,10.921086,10.012691,10.830792,9.72782,7717.064941,25977.929688,28134.472656,67.900589,-67.444084,-330.641296,12.957339,10.481995,101.339241,8.946867
444134,1,12.419417,11.010538,12.393919,10.673511,9566.896484,3407.459961,15676.407227000002,8.680686999999999,-72.93375400000001,12.299206,110.885384,10.21146,256.433411,0.749448
444135,1,11.389787,9.995034,11.267872,10.699124000000001,9580.84668,3369.1286619999996,15705.654297,4.223375,-59.957893000000006,-33.89283,9.032156,10.212631,242.43238799999997,0.840774
445626,1,12.421577000000001,11.262074,12.365992,11.126558000000001,23879.564453,23432.255859,4939.787598,61.222889,-32.199923999999996,17.783426000000002,77.650085,10.555019,349.076904,0.892086
445627,1,10.934776,9.777781,10.895782,9.142021000000002,24107.953125,23333.375,4723.189453,217.08381699999998,-34.038013,217.28646899999998,19.133148000000002,10.434544,85.492638,11.270002
445628,1,10.612247,9.69251,10.540027,9.129478,23988.478516,23362.644531,5313.369629,22.122416,-68.529335,-23.267236999999998,12.136984,8.764946,97.41834300000001,0.185875
446665,1,12.287225,10.881806,12.257012,10.730782000000001,15066.288086000002,21320.96875,21944.953125,98.37874599999999,168.75683600000002,120.542427,88.231453,10.406751,308.756775,0.8104899999999999
446666,1,11.508450999999999,10.381402,11.45633,10.092296000000001,14705.12793,21163.568359,21881.792969,30.104691,341.32748399999997,61.227759999999996,25.055542000000003,10.783428,150.000015,8.174777
446667,1,11.348261,10.212177,11.29252,10.022712,15148.15332,21369.195312,22270.255859,-90.702904,208.439026,114.475807,23.956182000000002,10.683014,126.866257,9.068922
446668,1,11.210238,9.999982000000001,11.162537,9.836682000000001,14969.395508000001,21349.837891,22075.761719,22.512005,174.8974,-61.828587,20.508585,10.665896,114.86694299999999,10.635057000000002
446669,1,11.066605000000001,9.951335,11.020791000000001,9.435153,14742.890625,21036.5625,21998.275391,215.703537,169.833847,136.23085,20.396069,10.400309,99.084587,7.754149000000001
446670,1,10.883204,9.911681,10.824117999999999,9.192469000000001,14856.318359,21439.748047,21917.263672,173.101822,389.816956,233.289078,16.688578,10.387934,84.46500400000001,10.37094
